id,task,complete,due
02e49936-1419-45a8-bb39-9d16511b689b,matis,False,2024-03-04 00:00:00
1fe77d4b-0647-47bf-b183-be888c9d602d,y'a quelqu'un ?,False,2024-03-05 00:00:00
7cb9e0c8-e941-4099-8d44-05c304fca90c,encoreeeeeeee,False,2024-03-08 00:00:00
a1c48122-75a1-47d1-94b1-7378bc0ffc10,ourcfnxdwlgh,False,
5919cec7-ace7-47e7-8f84-3ac439b93b43,testest,True,
893449db-07b8-4d09-b543-894a4ee651be,ouioui,True,
1b74a4ed-efac-48aa-b80e-5b25bf555652,agxbqfeqrs,False,
37990514-923e-47fe-90ea-37ec71eb846a,iunsrw,False,
afdd422c-a70d-4673-a347-4c2b6714b6fd,testeuh,False,
a02c5c51-bcd9-4c43-8fa5-a8366b97a5cd,non,False,
